percentages,particles,sim_times,pred_times,mean_distances
10,100,2.0218262672424316,3.019200563430786,0.07623885571956635
10,200,3.8235881328582764,5.291639089584351,0.1875723898410797
10,300,6.663490295410156,8.397956609725952,0.22715018689632416
10,400,14.352859258651733,8.65677547454834,0.11238789558410645
10,500,19.828421115875244,11.33846402168274,0.10700108110904694
10,600,25.9170343875885,20.7407386302948,0.14556315541267395
10,700,33.519572496414185,25.983760356903076,0.09914104640483856
10,800,42.200188636779785,32.5855770111084,0.22412987053394318
10,900,51.99852657318115,37.58268880844116,0.15975190699100494
10,1000,63.82159948348999,45.73022961616516,0.19461065530776978
20,100,2.0218262672424316,3.6048684120178223,0.1638721078634262
20,200,3.8235881328582764,5.975652694702148,0.3658296465873718
20,300,6.663490295410156,6.4509265422821045,0.3573555052280426
20,400,14.352859258651733,8.124303579330444,0.2704271972179413
20,500,19.828421115875244,11.758457660675049,0.21754103899002075
20,600,25.9170343875885,21.53074359893799,0.24527105689048767
20,700,33.519572496414185,25.654916763305664,0.23841002583503723
20,800,42.200188636779785,31.04871439933777,0.4218938946723938
20,900,51.99852657318115,36.84500193595886,0.33091795444488525
20,1000,63.82159948348999,45.71581482887268,0.29687657952308655
30,100,2.0218262672424316,3.5072312355041504,0.2886226177215576
30,200,3.8235881328582764,5.955522298812866,0.668673038482666
30,300,6.663490295410156,8.934317350387573,0.5044375658035278
30,400,14.352859258651733,11.695471286773682,0.454539030790329
30,500,19.828421115875244,10.363178253173828,0.3555911183357239
30,600,25.9170343875885,19.453311681747437,0.4620315730571747
30,700,33.519572496414185,28.831871271133423,0.3355354964733124
30,800,42.200188636779785,28.008819818496704,0.616664707660675
30,900,51.99852657318115,35.303099393844604,0.5907992124557495
30,1000,63.82159948348999,38.59284162521362,0.5846945643424988
40,100,2.0218262672424316,4.387545108795166,0.5536070466041565
40,200,3.8235881328582764,5.994494199752808,0.7741827368736267
40,300,6.663490295410156,7.406697750091553,0.7286983728408813
40,400,14.352859258651733,8.258597612380981,0.5373015999794006
40,500,19.828421115875244,10.965151071548462,0.4472167193889618
40,600,25.9170343875885,17.445321083068848,0.48949334025382996
40,700,33.519572496414185,21.65046191215515,0.47576573491096497
40,800,42.200188636779785,25.824154376983643,0.877409040927887
40,900,51.99852657318115,33.1393187046051,0.7709137201309204
40,1000,63.82159948348999,35.557960510253906,0.7842748761177063
50,100,2.0218262672424316,4.298324823379517,0.595360279083252
